GRD1001|Stu1001|MATH1025|A-|88.39|Spring 2025
GRD1002|Stu1001|PHYS1031|A-|87.62|Spring 2025
GRD1003|Stu1001|BUS1131|B-|78.41|Fall 2024
GRD1004|Stu1001|PSY1101|B|82.97|Fall 2024
GRD1005|Stu1001|ECON1122|A-|87.07|Fall 2024
GRD1006|Stu1002|MATH1016|B|81.13|Fall 2024
GRD1007|Stu1002|ECON1121|C+|74.31|Fall 2024
GRD1008|Stu1002|CS1013|A-|87.56|Fall 2024
GRD1009|Stu1002|CS1003|A-|88.98|Fall 2024
GRD1010|Stu1002|HIST1088|A-|88.89|Spring 2025
GRD1011|Stu1003|BIO1064|D+|65.87|Fall 2024
GRD1012|Stu1003|MATH1023|B+|84.08|Fall 2024
GRD1013|Stu1003|MATH1017|C|70.31|Fall 2024
GRD1014|Stu1004|ENG1072|C-|68.80|Spring 2025
GRD1015|Stu1004|HIST1087|C+|74.13|Fall 2024
GRD1016|Stu1004|PHYS1040|B|81.06|Spring 2025
GRD1017|Stu1005|HIST1084|B-|78.25|Spring 2025
GRD1018|Stu1005|HIST1097|A|98.38|Spring 2025
GRD1019|Stu1005|ENG1080|A-|87.65|Spring 2025
GRD1020|Stu1005|BUS1132|A-|88.91|Fall 2024
GRD1021|Stu1006|ENGR1142|C|71.15|Fall 2024
GRD1022|Stu1006|MUS1175|B-|78.34|Fall 2024
GRD1023|Stu1006|BIO1069|D|62.59|Spring 2025
GRD1024|Stu1006|CHEM1056|B+|84.25|Fall 2024
GRD1025|Stu1007|CHEM1049|C+|75.50|Spring 2025
GRD1026|Stu1007|ENGR1147|A|97.62|Spring 2025
GRD1027|Stu1007|HIST1095|A|94.87|Spring 2025
GRD1028|Stu1008|ECON1112|D+|64.80|Spring 2025
GRD1029|Stu1008|CS1005|A|90.81|Spring 2025
GRD1030|Stu1008|ECON1113|B+|85.93|Fall 2024
GRD1031|Stu1009|ENGR1149|B-|77.02|Spring 2025
GRD1032|Stu1009|ENGR1147|F|31.53|Spring 2025
GRD1033|Stu1009|ENG1080|B+|84.34|Spring 2025
GRD1034|Stu1009|PHYS1039|A|94.03|Fall 2024
GRD1035|Stu1009|BUS1135|C+|74.43|Fall 2024
GRD1036|Stu1010|BIO1059|C|72.38|Spring 2025
GRD1037|Stu1010|ART1161|C+|74.51|Spring 2025
GRD1038|Stu1010|POLI1191|C+|74.66|Fall 2024
GRD1039|Stu1011|BIO1067|D|61.59|Spring 2025
GRD1040|Stu1011|BUS1129|B+|85.80|Spring 2025
GRD1041|Stu1011|ART1156|C+|74.30|Fall 2024
GRD1042|Stu1011|ART1162|A-|88.24|Spring 2025
GRD1043|Stu1012|CHEM1044|A|97.84|Spring 2025
GRD1044|Stu1012|PHYS1042|B|80.77|Spring 2025
GRD1045|Stu1012|ENGR1146|A|98.09|Spring 2025
GRD1046|Stu1012|PHYS1032|A|98.90|Fall 2024
GRD1047|Stu1013|HIST1086|A|92.91|Spring 2025
GRD1048|Stu1013|MATH1024|A-|87.39|Spring 2025
GRD1049|Stu1013|BIO1058|A|91.77|Fall 2024
GRD1050|Stu1013|ART1154|B|82.48|Spring 2025
GRD1051|Stu1014|MATH1020|A|98.54|Spring 2025
GRD1052|Stu1014|POLI1185|B|82.18|Fall 2024
GRD1053|Stu1014|PSY1105|A|97.50|Spring 2025
GRD1054|Stu1015|PSY1100|C|72.86|Fall 2024
GRD1055|Stu1015|SOC1194|C|70.29|Spring 2025
GRD1056|Stu1015|ENG1081|B+|85.69|Fall 2024
GRD1057|Stu1015|ECON1113|B+|84.69|Fall 2024
GRD1058|Stu1016|POLI1183|B+|84.55|Fall 2024
GRD1059|Stu1016|SOC1196|C+|75.86|Spring 2025
GRD1060|Stu1016|ENGR1146|A-|88.64|Spring 2025
GRD1061|Stu1016|MATH1025|B+|85.08|Spring 2025
GRD1062|Stu1017|PHYS1035|A-|88.60|Fall 2024
GRD1063|Stu1017|BUS1130|B|82.09|Fall 2024
GRD1064|Stu1017|ENG1077|C+|74.01|Fall 2024
GRD1065|Stu1017|ECON1114|C+|75.98|Spring 2025
GRD1066|Stu1018|PSY1099|C-|67.37|Fall 2024
GRD1067|Stu1018|ECON1123|A|98.24|Spring 2025
