APT001|Stu1001|Fac1010|2025-02-13|09:00|Study Abroad Consultation|Completed
APT002|Stu1001|Fac1010|2025-10-06|13:00|Grade Discussion|Completed
APT003|Stu1001|Fac1010|2025-03-17|10:00|Schedule Adjustment|Completed
APT004|Stu1001|Fac1010|2025-12-16|14:00|Major Declaration|Scheduled
APT005|Stu1002|Fac1005|2025-12-24|09:00|Schedule Adjustment|Scheduled
APT006|Stu1002|Fac1005|2025-01-20|09:00|Major Declaration|Completed
APT007|Stu1002|Fac1005|2025-01-21|15:00|Career Guidance|Completed
APT008|Stu1002|Fac1005|2025-01-15|13:00|Study Abroad Consultation|Completed
APT009|Stu1003|Fac1018|2025-04-02|10:00|Study Abroad Consultation|Completed
APT010|Stu1003|Fac1018|2025-10-31|10:00|Academic Probation Discussion|Scheduled
APT011|Stu1003|Fac1004|2025-12-22|16:00|Academic Probation Discussion|Scheduled
APT012|Stu1004|Fac1020|2025-11-03|15:00|Study Abroad Consultation|Scheduled
APT013|Stu1004|Fac1014|2025-11-24|13:00|Academic Planning|Scheduled
APT014|Stu1004|Fac1014|2025-11-24|09:00|Grade Discussion|Scheduled
APT015|Stu1004|Fac1014|2025-08-29|13:00|Academic Planning|Completed
APT016|Stu1005|Fac1004|2025-04-18|15:00|Study Abroad Consultation|Completed
APT017|Stu1005|Fac1004|2024-09-09|13:00|Thesis Planning|Completed
APT018|Stu1006|Fac1001|2025-12-08|15:00|Grade Discussion|Scheduled
APT019|Stu1006|Fac1001|2025-01-22|15:00|Transfer Credit Evaluation|Completed
APT020|Stu1006|Fac1001|2025-11-17|13:00|Grade Discussion|Scheduled
APT021|Stu1006|Fac1001|2025-10-03|15:00|Research Opportunities|Completed
APT022|Stu1007|Fac1020|2025-01-14|15:00|Graduation Requirements Review|Completed
APT023|Stu1007|Fac1020|2025-09-22|11:00|Thesis Planning|Completed
APT024|Stu1007|Fac1020|2025-07-25|14:00|Grade Discussion|Completed
APT025|Stu1007|Fac1003|2025-11-13|14:00|Thesis Planning|Scheduled
APT026|Stu1008|Fac1003|2025-12-11|14:00|Major Declaration|Scheduled
APT027|Stu1008|Fac1003|2025-04-10|09:00|Transfer Credit Evaluation|Completed
APT028|Stu1008|Fac1003|2025-12-01|15:00|Thesis Planning|Scheduled
APT029|Stu1008|Fac1003|2025-12-22|16:00|Transfer Credit Evaluation|Scheduled
APT030|Stu1009|Fac1017|2025-01-13|16:00|Study Abroad Consultation|Completed
APT031|Stu1009|Fac1017|2025-12-01|10:00|Graduation Requirements Review|Scheduled
APT032|Stu1009|Fac1010|2025-03-17|13:00|Academic Performance Review|Completed
APT033|Stu1009|Fac1017|2025-11-13|09:00|Academic Planning|Scheduled
APT034|Stu1010|Fac1011|2024-11-01|10:00|Career Guidance|Completed
APT035|Stu1010|Fac1011|2025-07-22|11:00|Transfer Credit Evaluation|Completed
APT036|Stu1010|Fac1011|2024-11-12|10:00|Grade Discussion|Completed
APT037|Stu1010|Fac1011|2025-12-08|14:00|Academic Probation Discussion|Scheduled
APT038|Stu1011|Fac1013|2025-10-30|13:00|Graduation Requirements Review|Scheduled
APT039|Stu1011|Fac1013|2025-11-18|13:00|Major Declaration|Scheduled
APT040|Stu1012|Fac1013|2025-12-08|09:00|Research Opportunities|Scheduled
APT041|Stu1012|Fac1013|2024-08-28|13:00|Internship Planning|Completed
APT042|Stu1013|Fac1005|2025-12-15|14:00|Academic Probation Discussion|Scheduled
APT043|Stu1013|Fac1008|2024-12-06|10:00|Academic Planning|Completed
APT044|Stu1013|Fac1008|2025-09-01|16:00|Academic Performance Review|Completed
APT045|Stu1013|Fac1004|2025-10-10|09:00|Thesis Planning|Completed
APT046|Stu1014|Fac1007|2025-11-10|11:00|Academic Planning|Scheduled
APT047|Stu1014|Fac1010|2025-10-09|14:00|Study Abroad Consultation|Completed
APT048|Stu1015|Fac1014|2025-05-08|14:00|Research Opportunities|Completed
APT049|Stu1015|Fac1014|2024-08-22|15:00|Transfer Credit Evaluation|Completed
APT050|Stu1015|Fac1014|2025-12-01|16:00|Research Opportunities|Scheduled
APT051|Stu1015|Fac1014|2025-11-05|14:00|Career Guidance|Scheduled
APT052|Stu1016|Fac1011|2025-11-04|14:00|Schedule Adjustment|Scheduled
APT053|Stu1016|Fac1019|2025-06-04|09:00|Grade Discussion|Completed
APT054|Stu1017|Fac1013|2025-11-10|09:00|Career Guidance|Scheduled
APT055|Stu1017|Fac1014|2025-12-17|13:00|Internship Planning|Scheduled
APT056|Stu1017|Fac1014|2025-11-24|13:00|Academic Performance Review|Scheduled
APT057|Stu1017|Fac1014|2025-03-17|13:00|Course Selection for Next Semester|Completed
APT058|Stu1018|Fac1020|2025-07-11|16:00|Academic Performance Review|Completed
APT059|Stu1018|Fac1020|2025-10-27|11:00|Career Guidance|Scheduled
APT060|Stu1019|Fac1002|2025-11-10|10:00|Thesis Planning|Scheduled
APT061|Stu1019|Fac1002|2025-12-22|16:00|Research Opportunities|Scheduled
APT062|Stu1019|Fac1002|2024-10-21|16:00|Grade Discussion|Completed
APT063|Stu1020|Fac1003|2025-12-19|15:00|Graduation Requirements Review|Scheduled
APT064|Stu1020|Fac1003|2025-06-13|16:00|Major Declaration|Completed
APT065|Stu1020|Fac1003|2025-12-10|15:00|Schedule Adjustment|Scheduled
APT066|Stu1020|Fac1018|2025-10-13|11:00|Research Opportunities|Completed
APT067|Stu1021|Fac1017|2025-12-01|16:00|Research Opportunities|Scheduled
APT068|Stu1021|Fac1003|2025-07-01|13:00|Course Selection for Next Semester|Completed
APT069|Stu1021|Fac1017|2025-07-02|11:00|Internship Planning|Completed
APT070|Stu1022|Fac1011|2025-01-22|15:00|Research Opportunities|Completed
APT071|Stu1022|Fac1011|2024-10-22|16:00|Internship Planning|Completed
APT072|Stu1022|Fac1011|2025-04-24|14:00|Transfer Credit Evaluation|Completed
APT073|Stu1022|Fac1011|2025-10-27|13:00|Academic Performance Review|Scheduled
APT074|Stu1023|Fac1018|2025-10-29|14:00|Academic Probation Discussion|Scheduled
APT075|Stu1023|Fac1011|2025-11-04|13:00|Academic Performance Review|Scheduled
APT076|Stu1023|Fac1018|2025-01-21|14:00|Graduation Requirements Review|Completed
APT077|Stu1024|Fac1011|2025-11-18|14:00|Schedule Adjustment|Scheduled
APT078|Stu1024|Fac1011|2025-08-06|15:00|Course Selection for Next Semester|Completed
APT079|Stu1024|Fac1011|2025-12-04|15:00|Course Selection for Next Semester|Scheduled
APT080|Stu1024|Fac1011|2025-11-03|15:00|Major Declaration|Scheduled
APT081|Stu1025|Fac1006|2025-12-10|11:00|Academic Performance Review|Scheduled
APT082|Stu1025|Fac1006|2025-10-29|09:00|Study Abroad Consultation|Scheduled
APT083|Stu1026|Fac1013|2025-12-22|09:00|Academic Performance Review|Scheduled
APT084|Stu1026|Fac1013|2025-11-19|14:00|Graduation Requirements Review|Scheduled
APT085|Stu1026|Fac1015|2025-04-11|14:00|Internship Planning|Completed
APT086|Stu1027|Fac1020|2025-09-25|11:00|Research Opportunities|Completed
APT087|Stu1027|Fac1020|2025-07-02|15:00|Major Declaration|Completed
APT088|Stu1028|Fac1013|2025-10-29|09:00|Career Guidance|Scheduled
APT089|Stu1028|Fac1013|2025-11-14|10:00|Academic Planning|Scheduled
APT090|Stu1029|Fac1010|2024-11-25|16:00|Career Guidance|Completed
APT091|Stu1029|Fac1010|2025-08-26|11:00|Transfer Credit Evaluation|Completed
APT092|Stu1030|Fac1008|2025-12-15|11:00|Research Opportunities|Scheduled
APT093|Stu1030|Fac1008|2025-12-16|10:00|Academic Probation Discussion|Scheduled
APT094|Stu1031|Fac1004|2025-10-14|15:00|Academic Planning|Completed
APT095|Stu1031|Fac1004|2025-03-21|14:00|Schedule Adjustment|Completed
APT096|Stu1032|Fac1004|2025-12-08|10:00|Internship Planning|Scheduled
APT097|Stu1032|Fac1004|2025-12-15|16:00|Graduation Requirements Review|Scheduled
APT098|Stu1033|Fac1004|2025-11-03|14:00|Internship Planning|Scheduled
APT099|Stu1033|Fac1004|2025-12-01|13:00|Research Opportunities|Scheduled
APT100|Stu1033|Fac1004|2025-10-28|09:00|Schedule Adjustment|Scheduled
APT101|Stu1033|Fac1004|2025-11-24|13:00|Academic Planning|Scheduled
APT102|Stu1034|Fac1006|2024-10-23|16:00|Thesis Planning|Completed
APT103|Stu1034|Fac1006|2025-10-16|15:00|Academic Probation Discussion|Completed
APT104|Stu1035|Fac1014|2025-11-07|13:00|Career Guidance|Scheduled
APT105|Stu1035|Fac1007|2025-11-14|13:00|Academic Probation Discussion|Scheduled
APT106|Stu1035|Fac1014|2025-07-08|15:00|Transfer Credit Evaluation|Completed
