CS1001|Introduction to Programming|3|CS|MWF 10:00-11:00|Fac1014|45|3|Fall 2024
CS1002|Data Structures|3|CS|TTh 18:00-19:30|Fac1003|30|0|Fall 2024
CS1003|Algorithms|4|CS|TTh 18:00-19:30|Fac1007|50|1|Fall 2024
CS1004|Database Systems|3|CS|MWF 11:00-12:00|Fac1001|40|1|Spring 2025
CS1005|Operating Systems|4|CS|MWF 11:00-12:00|Fac1005|50|3|Spring 2025
CS1006|Computer Networks|3|CS|MWF 14:00-15:00|Fac1014|25|2|Spring 2025
CS1007|Software Engineering|3|CS|MW 18:00-19:30|Fac1006|40|2|Fall 2024
CS1008|Web Development|3|CS|TTh 18:00-19:30|Fac1005|40|1|Spring 2025
CS1009|Mobile App Development|3|CS|TTh 13:00-14:30|Fac1016|50|0|Spring 2025
CS1010|Artificial Intelligence|4|CS|MWF 13:00-14:00|Fac1011|45|1|Spring 2025
CS1011|Machine Learning|4|CS|TTh 9:30-11:00|Fac1001|35|2|Fall 2024
CS1012|Cybersecurity|3|CS|MWF 11:00-12:00|Fac1008|45|1|Fall 2024
CS1013|Cloud Computing|3|CS|MWF 14:00-15:00|Fac1014|40|2|Fall 2024
CS1014|Computer Graphics|3|CS|MWF 11:00-12:00|Fac1010|25|2|Fall 2024
CS1015|Compiler Design|4|CS|MWF 8:00-9:00|Fac1002|45|2|Fall 2024
MATH1016|Calculus I|4|MATH|MWF 9:00-10:00|Fac1019|35|2|Fall 2024
MATH1017|Calculus II|4|MATH|MWF 11:00-12:00|Fac1019|25|4|Fall 2024
MATH1018|Calculus III|4|MATH|MWF 14:00-15:00|Fac1019|40|0|Spring 2025
MATH1019|Linear Algebra|3|MATH|MWF 15:00-16:00|Fac1007|45|2|Spring 2025
MATH1020|Differential Equations|3|MATH|MWF 8:00-9:00|Fac1016|45|2|Spring 2025
MATH1021|Statistics|3|MATH|TTh 18:00-19:30|Fac1016|25|2|Fall 2024
MATH1022|Probability Theory|3|MATH|MWF 11:00-12:00|Fac1009|50|4|Spring 2025
MATH1023|Discrete Mathematics|3|MATH|TTh 9:30-11:00|Fac1005|35|2|Fall 2024
MATH1024|Number Theory|3|MATH|TTh 16:00-17:30|Fac1015|45|2|Spring 2025
MATH1025|Abstract Algebra|4|MATH|TTh 8:00-9:30|Fac1001|25|4|Spring 2025
MATH1026|Real Analysis|4|MATH|MWF 13:00-14:00|Fac1007|45|1|Spring 2025
MATH1027|Complex Analysis|4|MATH|MWF 10:00-11:00|Fac1011|25|2|Spring 2025
MATH1028|Topology|3|MATH|MWF 10:00-11:00|Fac1001|40|4|Fall 2024
MATH1029|Mathematical Logic|3|MATH|MWF 8:00-9:00|Fac1018|30|3|Fall 2024
PHYS1030|Physics I: Mechanics|4|PHYS|TTh 18:00-19:30|Fac1010|30|3|Fall 2024
PHYS1031|Physics II: E&M|4|PHYS|MWF 10:00-11:00|Fac1018|35|4|Spring 2025
PHYS1032|Modern Physics|4|PHYS|MWF 11:00-12:00|Fac1001|25|3|Fall 2024
PHYS1033|Thermodynamics|3|PHYS|MWF 14:00-15:00|Fac1005|40|1|Fall 2024
PHYS1034|Quantum Mechanics|4|PHYS|MWF 14:00-15:00|Fac1013|50|2|Spring 2025
PHYS1035|Classical Mechanics|4|PHYS|MWF 11:00-12:00|Fac1006|45|4|Fall 2024
PHYS1036|Electromagnetism|4|PHYS|TTh 8:00-9:30|Fac1019|35|3|Spring 2025
PHYS1037|Optics|3|PHYS|MWF 9:00-10:00|Fac1010|35|0|Fall 2024
PHYS1038|Nuclear Physics|3|PHYS|TTh 16:00-17:30|Fac1001|50|3|Spring 2025
PHYS1039|Solid State Physics|3|PHYS|TTh 11:00-12:30|Fac1008|25|5|Fall 2024
PHYS1040|Astrophysics|3|PHYS|MWF 14:00-15:00|Fac1003|40|4|Spring 2025
PHYS1041|Particle Physics|4|PHYS|TTh 8:00-9:30|Fac1018|45|5|Fall 2024
PHYS1042|Relativity|3|PHYS|MWF 15:00-16:00|Fac1007|45|2|Spring 2025
PHYS1043|Computational Physics|3|PHYS|MWF 8:00-9:00|Fac1013|50|4|Spring 2025
CHEM1044|General Chemistry I|4|CHEM|TTh 13:00-14:30|Fac1009|50|3|Spring 2025
CHEM1045|General Chemistry II|4|CHEM|TTh 18:00-19:30|Fac1014|35|3|Fall 2024
CHEM1046|Organic Chemistry I|4|CHEM|TTh 14:30-16:00|Fac1018|25|1|Fall 2024
CHEM1047|Organic Chemistry II|4|CHEM|MWF 11:00-12:00|Fac1016|45|2|Fall 2024
CHEM1048|Physical Chemistry|4|CHEM|TTh 9:30-11:00|Fac1011|35|4|Spring 2025
CHEM1049|Analytical Chemistry|3|CHEM|MWF 9:00-10:00|Fac1003|50|1|Spring 2025
CHEM1050|Inorganic Chemistry|3|CHEM|MWF 10:00-11:00|Fac1001|50|0|Fall 2024
CHEM1051|Biochemistry|4|CHEM|MWF 9:00-10:00|Fac1008|40|0|Spring 2025
CHEM1052|Environmental Chemistry|3|CHEM|TTh 18:00-19:30|Fac1009|45|5|Spring 2025
