ENR1001|Stu1001|MATH1025|Spring 2025|2024-08-17
ENR1002|Stu1001|PHYS1031|Spring 2025|2024-08-27
ENR1003|Stu1001|BUS1131|Fall 2024|2024-08-22
ENR1004|Stu1001|PSY1101|Fall 2024|2024-08-22
ENR1005|Stu1001|ECON1122|Fall 2024|2024-08-17
ENR1006|Stu1002|MATH1016|Fall 2024|2024-08-15
ENR1007|Stu1002|ECON1121|Fall 2024|2024-08-16
ENR1008|Stu1002|CS1013|Fall 2024|2024-08-21
ENR1009|Stu1002|CS1003|Fall 2024|2024-08-20
ENR1010|Stu1002|HIST1088|Spring 2025|2024-08-28
ENR1011|Stu1003|BIO1064|Fall 2024|2024-08-19
ENR1012|Stu1003|MATH1023|Fall 2024|2024-08-26
ENR1013|Stu1003|MATH1017|Fall 2024|2024-08-28
ENR1014|Stu1004|ENG1072|Spring 2025|2024-08-24
ENR1015|Stu1004|HIST1087|Fall 2024|2024-08-24
ENR1016|Stu1004|PHYS1040|Spring 2025|2024-08-16
ENR1017|Stu1005|HIST1084|Spring 2025|2024-08-17
ENR1018|Stu1005|HIST1097|Spring 2025|2024-08-24
ENR1019|Stu1005|ENG1080|Spring 2025|2024-08-19
ENR1020|Stu1005|BUS1132|Fall 2024|2024-08-23
ENR1021|Stu1006|ENGR1142|Fall 2024|2024-08-25
ENR1022|Stu1006|MUS1175|Fall 2024|2024-08-22
ENR1023|Stu1006|BIO1069|Spring 2025|2024-08-25
ENR1024|Stu1006|CHEM1056|Fall 2024|2024-08-28
ENR1025|Stu1007|CHEM1049|Spring 2025|2024-08-22
ENR1026|Stu1007|ENGR1147|Spring 2025|2024-08-20
ENR1027|Stu1007|HIST1095|Spring 2025|2024-08-24
ENR1028|Stu1008|ECON1112|Spring 2025|2024-08-25
ENR1029|Stu1008|CS1005|Spring 2025|2024-08-25
ENR1030|Stu1008|ECON1113|Fall 2024|2024-08-29
ENR1031|Stu1009|ENGR1149|Spring 2025|2024-08-20
ENR1032|Stu1009|ENGR1147|Spring 2025|2024-08-20
ENR1033|Stu1009|ENG1080|Spring 2025|2024-08-17
ENR1034|Stu1009|PHYS1039|Fall 2024|2024-08-16
ENR1035|Stu1009|BUS1135|Fall 2024|2024-08-15
ENR1036|Stu1010|BIO1059|Spring 2025|2024-08-16
ENR1037|Stu1010|ART1161|Spring 2025|2024-08-27
ENR1038|Stu1010|POLI1191|Fall 2024|2024-08-19
ENR1039|Stu1011|BIO1067|Spring 2025|2024-08-26
ENR1040|Stu1011|BUS1129|Spring 2025|2024-08-17
ENR1041|Stu1011|ART1156|Fall 2024|2024-08-16
ENR1042|Stu1011|ART1162|Spring 2025|2024-08-18
ENR1043|Stu1012|CHEM1044|Spring 2025|2024-08-25
ENR1044|Stu1012|PHYS1042|Spring 2025|2024-08-16
ENR1045|Stu1012|ENGR1146|Spring 2025|2024-08-27
ENR1046|Stu1012|PHYS1032|Fall 2024|2024-08-16
ENR1047|Stu1013|HIST1086|Spring 2025|2024-08-15
ENR1048|Stu1013|MATH1024|Spring 2025|2024-08-19
ENR1049|Stu1013|BIO1058|Fall 2024|2024-08-22
ENR1050|Stu1013|ART1154|Spring 2025|2024-08-23
ENR1051|Stu1014|MATH1020|Spring 2025|2024-08-17
ENR1052|Stu1014|POLI1185|Fall 2024|2024-08-15
ENR1053|Stu1014|PSY1105|Spring 2025|2024-08-20
ENR1054|Stu1015|PSY1100|Fall 2024|2024-08-22
ENR1055|Stu1015|SOC1194|Spring 2025|2024-08-25
ENR1056|Stu1015|ENG1081|Fall 2024|2024-08-23
ENR1057|Stu1015|ECON1113|Fall 2024|2024-08-19
ENR1058|Stu1016|POLI1183|Fall 2024|2024-08-16
ENR1059|Stu1016|SOC1196|Spring 2025|2024-08-21
ENR1060|Stu1016|ENGR1146|Spring 2025|2024-08-28
ENR1061|Stu1016|MATH1025|Spring 2025|2024-08-20
ENR1062|Stu1017|PHYS1035|Fall 2024|2024-08-18
ENR1063|Stu1017|BUS1130|Fall 2024|2024-08-20
ENR1064|Stu1017|ENG1077|Fall 2024|2024-08-20
ENR1065|Stu1017|ECON1114|Spring 2025|2024-08-19
ENR1066|Stu1018|PSY1099|Fall 2024|2024-08-16
